"pi_key","primary.subject","herfindahl","weighted.primary.subject","weighted.herfindahl"
"nih_1877790","BIOC",0.543083900226757,"AGRI",0.313427542686835
"nih_1877799","MEDI",0.286125298168667,"IMMU",0.238487453725427
"nih_1877831","IMMU",0.290147569444444,"IMMU",0.330371455262292
"nih_1877883","BIOC",0.280673677793019,"IMMU",0.310906442105613
"nih_1877944","BIOC",0.30680383379247,"IMMU",0.212646212600848
"nih_1878085","BIOC",0.448502629848784,"PHAR",0.131092084146304
"nih_1878171","OTHER",1,"OTHER",1
"nih_1878564","BIOC",0.435327877564035,"MEDI",0.268887954046806
"nih_1878566","MEDI",0.313113436612975,"MEDI",0.241326611568198
"nih_1878576","NEUR",0.250853939258929,"NEUR",0.409982926761972
"nih_1878612","BIOC",0.265754132231405,"PHAR",0.291843136406466
"nih_1878773","BIOC",0.341494845360825,"MULT",0.169259128541938
"nih_1878823","BIOC",0.190527518324721,"PHAR",0.137389457645745
"nih_1878922","BIOC",0.278956827719223,"IMMU",0.174513943804895
"nih_1879132","BIOC",0.529021289888504,"AGRI",0.157147599666192
"nih_1879137","BIOC",0.511657214870825,"CENG",0.189779350366875
"nih_1879138","BIOC",0.474554927995772,"IMMU",0.150528180095172
"nih_1879348","BIOC",0.423696844993141,"OTHER",0.176237723453132
"nih_1879377","BIOC",0.271373981691442,"NEUR",0.251233827628086
"nih_1879395","BIOC",0.564604574550155,"BIOC",0.19638005520785
"nih_1879397","BIOC",0.657610560503048,"BIOC",0.229274475582638
"nih_1879411","BIOC",0.213126277259875,"CENG",0.201298105209909
"nih_1879448","BIOC",0.588477366255144,"AGRI",0.670290190236367
"nih_1879476","BIOC",0.381820243497534,"MULT",0.17544435595401
"nih_1879567","BIOC",0.33533488292011,"IMMU",0.244750012677676
"nih_1879587","BIOC",0.45179584120983,"MULT",0.324863969527293
"nih_1879843","IMMU",0.255209119259595,"IMMU",0.224579254851551
"nih_1879845","CHEM",0.31560987654321,"CENG",0.322804795804086
"nih_1879853","CHEM",0.374324845679012,"CENG",0.402431609181025
"nih_1879891","BIOC",0.586111111111111,"IMMU",0.25255271989742
"nih_1880263","BIOC",0.476476278415337,"NEUR",0.160368479536918
"nih_1880266","BIOC",0.27965172757824,"PHAR",0.198483664592006
"nih_1880314","AGRI",0.321388888888889,"AGRI",0.697515187300539
"nih_1880322","BIOC",0.354604835675934,"IMMU",0.339703317398478
"nih_1880324","BIOC",0.668829296424452,"BIOC",0.221346835219864
"nih_1880327","BIOC",0.53305785123967,"IMMU",0.230167512831132
"nih_1880328","BIOC",0.363254676870748,"MULT",0.251746192753156
"nih_1880397","BIOC",0.440898799606989,"MULT",0.169370334089098
"nih_1880416","BIOC",0.421536894522408,"AGRI",0.182111745607475
"nih_1880450","BIOC",0.60542735042735,"AGRI",0.217885885851797
"nih_1880539","MEDI",0.290927021696252,"IMMU",0.225286120388645
"nih_1880550","IMMU",0.327962962962963,"IMMU",0.387285354019215
"nih_1880571","BIOC",0.547953848927348,"MEDI",0.361755988514129
"nih_1880714","BIOC",0.545099521289998,"AGRI",0.281266062187433
"nih_1880722","BIOC",0.45951076509035,"BIOC",0.14831767756572
"nih_1880733","CHEM",0.443569553805774,"CHEM",0.443589099660983
"nih_1880734","BIOC",0.828888888888889,"BIOC",0.432435529450617
"nih_1880892","BIOC",0.521783264746228,"OTHER",0.186852561185893
"nih_1880940","MEDI",0.509749352376952,"MEDI",0.35431131515243
"nih_1880945","BIOC",0.459452479338843,"MULT",0.315722740781395
"nih_1880956","IMMU",0.334595276726158,"IMMU",0.443458182005224
"nih_1880992","NEUR",0.260510288065844,"NEUR",0.467752465826986
"nih_1881003","BIOC",0.386518959435626,"IMMU",0.179920219344827
"nih_1881159","BIOC",0.395857246709519,"PHAR",0.169601159329629
"nih_1881187","MEDI",0.369878709762707,"MEDI",0.303107516933181
"nih_1881208","BIOC",0.31601856428846,"OTHER",0.21415170743704
"nih_1881249","PHAR",0.252794777223778,"PHAR",0.471280755235254
"nih_1881371","MEDI",0.347760602457392,"MEDI",0.246845590817101
"nih_1881391","BIOC",0.331205733322135,"MULT",0.243624460559549
"nih_1881411","CHEM",0.195997738890594,"PHAR",0.209215427958131
"nih_1881551","CHEM",0.455738177623991,"CENG",0.449061049272385
"nih_1881563","NEUR",0.34908477410493,"NEUR",0.714133945124864
"nih_1881569","BIOC",0.615856881968474,"AGRI",0.203069785668483
"nih_1881574","BIOC",0.496047493071303,"AGRI",0.180070532543239
"nih_1881575","CHEM",0.304505356017643,"CHEM",0.266278120186665
"nih_1881578","BIOC",0.664027777777778,"PHAR",0.281529921089016
"nih_1881584","BIOC",0.449853349187475,"MULT",0.154457098300199
"nih_1881721","MEDI",0.451638431483191,"MEDI",0.295148311074378
"nih_1881727","CHEM",0.310355101367417,"CHEM",0.290890930985285
"nih_1881728","CHEM",0.266841944825484,"CENG",0.385113313009389
"nih_1881747","BIOC",0.49734090499369,"PHAR",0.177681762824762
"nih_1881790","MEDI",0.41943016693833,"MEDI",0.314195843006823
"nih_1881847","NEUR",0.243559254855331,"NEUR",0.475260104962699
"nih_1881995","BIOC",0.210566272058971,"MULT",0.162614683873809
"nih_1882056","BIOC",0.457856859978713,"AGRI",0.175151890039075
"nih_1882154","PHAR",0.2133056640625,"PHAR",0.329349566539196
"nih_1882172","IMMU",0.344912190082645,"IMMU",0.380420650444944
"nih_1882273","BIOC",0.255878508266052,"MULT",0.228515112431837
"nih_1882305","BIOC",0.380333333333333,"MULT",0.189439051297724
"nih_1882493","BIOC",0.264881656804734,"NEUR",0.333300220518572
"nih_1882554","BIOC",0.391758294753086,"CENG",0.306723210339073
"nih_1882754","IMMU",0.223202408457607,"IMMU",0.19788520361183
"nih_1883000","BIOC",0.466547857726294,"NEUR",0.215747247296335
"nih_1883011","BIOC",0.38476148732559,"MULT",0.354964818508277
"nih_1883014","BIOC",0.248125720876586,"OTHER",0.205202496506711
"nih_1883015","CHEM",0.558858431232942,"CHEM",0.727330540515474
"nih_1883034","BIOC",0.336676423324151,"MULT",0.274493184907465
"nih_1883035","OTHER",0.364118343195266,"OTHER",0.572913930318675
"nih_1883046","BIOC",0.355923734385273,"MULT",0.201750978284631
"nih_1883048","BIOC",0.415212733394552,"AGRI",0.232483083946111
"nih_1883051","BIOC",0.419423440453686,"AGRI",0.18452926296227
"nih_1883055","BIOC",0.573194444444444,"MULT",0.345796290931025
"nih_1883058","BIOC",0.417642983119174,"CENG",0.174914896467335
"nih_1883061","CHEM",0.266841165489814,"CENG",0.328176918803055
"nih_1883071","BIOC",0.403952057013282,"IMMU",0.488464713944905
"nih_1883072","BIOC",0.278048136411649,"IMMU",0.291206976678548
"nih_1883074","BIOC",0.57750007979827,"BIOC",0.228485061174896
"nih_1883077","BIOC",0.655797305147955,"BIOC",0.181741603393746
"nih_1883078","BIOC",0.575286428296809,"CENG",0.174529538462675
"nih_1883079","MEDI",0.26420395421436,"NEUR",0.374080178132713
"nih_1883088","BIOC",0.528846153846154,"AGRI",0.518295910290998
"nih_1883094","BIOC",0.362101813747904,"IMMU",0.169118653738373
"nih_1883110","BIOC",0.670811766191137,"BIOC",0.243927439411007
"nih_1883114","BIOC",0.44588673096402,"AGRI",0.160282261118456
"nih_1883128","BIOC",0.520709472849782,"BIOC",0.183242493962924
"nih_1883133","BIOC",0.702998846597462,"BIOC",0.28505792034575
"nih_1883140","BIOC",0.412176244488432,"CENG",0.220425606331179
"nih_1883155","BIOC",0.398798076923077,"MULT",0.444657207900172
"nih_1883188","MEDI",0.474176742169166,"NEUR",0.370601931984435
"nih_1883189","BIOC",0.3946129377677,"NEUR",0.156580621941143
